head_id:token,relation_id:token,tail_id:token
res:Situmurun_Waterfall,dct:category,cat:Alam
res:Situmurun_Waterfall,hasCategory,Air Terjun
res:Situmurun_Waterfall,hasFeature,Air Terjun Bertingkat
res:Situmurun_Waterfall,hasLandscape,Tebing
res:Situmurun_Waterfall,hasLandscape,Hutan
res:Situmurun_Waterfall,suitableFor,Keluarga
res:Situmurun_Waterfall,suitableFor,Petualang
res:Situmurun_Waterfall,activityType,Berenang
res:Situmurun_Waterfall,activityType,Fotografi
res:Situmurun_Waterfall,activityType,Trekking
res:Situmurun_Waterfall,dbo:feature,Air Terjun
res:Situmurun_Waterfall,dbo:feature,Panorama Alam
res:Situmurun_Waterfall,hasAtmosphere,Sejuk
res:Situmurun_Waterfall,hasAtmosphere,Tenang
res:Situmurun_Waterfall,roadCondition,Sulit
res:Situmurun_Waterfall,accessibleBy,Jalan Kaki
res:Situmurun_Waterfall,accessibleBy,Perahu/Kapal
res:Situmurun_Waterfall,dbo:transportation,Perahu/Kapal
res:Situmurun_Waterfall,dbo:transportation,Jalan Kaki
res:Situmurun_Waterfall,dbo:location,Toba
res:Situmurun_Waterfall,dbo:locatedInArea,Ajibata
res:Situmurun_Waterfall,dbo:nearbyAttraction,Danau_Toba
res:Situmurun_Waterfall,dbo:nearbyAttraction,Bukit_Barisan
res:Situmurun_Waterfall,dbo:parking,Tidak Tersedia
res:Situmurun_Waterfall,hasSubCategory,Air Terjun Alami
res:Situmurun_Waterfall,oftenVisitedWith,Keluarga
res:Situmurun_Waterfall,oftenVisitedWith,Teman
res:Situmurun_Waterfall,oftenVisitedWith,Pasangan
res:Situmurun_Waterfall,suitableFor,Wisatawan Domestik
res:Situmurun_Waterfall,suitableFor,Wisatawan Mancanegara
res:Air_Terjun_Sampuran_Huta_Namora,dct:category,cat:Alam
res:Air_Terjun_Sampuran_Huta_Namora,hasFeature,Air Terjun
res:Air_Terjun_Sampuran_Huta_Namora,hasLandscape,Alam
res:Air_Terjun_Sampuran_Huta_Namora,suitableFor,Traveler
res:Air_Terjun_Sampuran_Huta_Namora,activityType,Wisata Alam
res:Air_Terjun_Sampuran_Huta_Namora,accessibleBy,Mobil
res:Air_Terjun_Sampuran_Huta_Namora,accessibleBy,Motor
res:Air_Terjun_Sampuran_Huta_Namora,roadCondition,Baik
res:Air_Terjun_Sampuran_Huta_Namora,dbo:parking,Tersedia
res:Air_Terjun_Sampuran_Huta_Namora,dbo:openingHours,Setiap Hari
res:Air_Terjun_Sampuran_Huta_Namora,dbo:transportation,Mobil
res:Air_Terjun_Sampuran_Huta_Namora,dbo:transportation,Motor
res:Air_Terjun_Sampuran_Huta_Namora,dbo:location,Toba
res:Air_Terjun_Sampuran_Huta_Namora,hasSubCategory,Air Terjun Alami
res:Air_Terjun_Sampuran_Huta_Namora,hasAtmosphere,Sejuk
res:Air_Terjun_Sampuran_Huta_Namora,hasAtmosphere,Tenang
res:Air_Terjun_Sampuran_Huta_Namora,dbo:nearbyAttraction,Danau_Toba
res:Air_Terjun_Sampuran_Huta_Namora,dbo:nearbyAttraction,Bukit_Holbung
res:Air_Terjun_Sampuran_Huta_Namora,dbo:nearbyAttraction,Pantai_Pasir_Putih
res:Air_Terjun_Sampuran_Huta_Namora,availableFacility,Area Parkir
res:Air_Terjun_Sampuran_Huta_Namora,availableFacility,Spot Foto
res:Air_Terjun_Sampuran_Huta_Namora,availableFacility,Jalur Trekking
res:Air_Terjun_Sampuran_Huta_Namora,oftenVisitedWith,Keluarga
res:Air_Terjun_Sampuran_Huta_Namora,oftenVisitedWith,Teman
res:Air_Terjun_Sampuran_Huta_Namora,oftenVisitedWith,Pasangan
res:Air_Terjun_Sampuran_Huta_Namora,dbo:nearbyFacility,Warung Makan
res:Air_Terjun_Sampuran_Huta_Namora,dbo:nearbyFacility,Penginapan
res:Air_Terjun_Sampuran_Huta_Namora,dbo:nearbyFacility,Toko Souvenir
res:Air_Terjun_Sampuran_Huta_Namora,dbo:specialty,Keindahan Alam
res:Air_Terjun_Sampuran_Huta_Namora,hasView,Pemandangan Alam
res:Air_Terjun_Siboruon,dct:category,cat:Alam
res:Air_Terjun_Siboruon,hasFeature,Air Terjun
res:Air_Terjun_Siboruon,suitableFor,Keluarga
res:Air_Terjun_Siboruon,suitableFor,Traveler
res:Air_Terjun_Siboruon,activityType,Hiking
res:Air_Terjun_Siboruon,activityType,Fotografi
res:Air_Terjun_Siboruon,hasLandscape,Pegunungan
res:Air_Terjun_Siboruon,hasAtmosphere,Sejuk
res:Air_Terjun_Siboruon,hasAtmosphere,Tenang
res:Air_Terjun_Siboruon,dbo:location,Toba
res:Air_Terjun_Siboruon,dbo:nearbyAttraction,Danau_Toba
res:Air_Terjun_Siboruon,accessibleBy,Mobil
res:Air_Terjun_Siboruon,accessibleBy,Motor
res:Air_Terjun_Siboruon,roadCondition,Baik
res:Air_Terjun_Siboruon,dbo:transportation,Mobil
res:Air_Terjun_Siboruon,dbo:transportation,Motor
res:Air_Terjun_Siboruon,hasSubCategory,Air
res:Air_Terjun_Siboruon,hasSubCategory,Alam
res:Air_Terjun_Siboruon,oftenVisitedWith,Keluarga
res:Air_Terjun_Siboruon,oftenVisitedWith,Teman
res:Air_Terjun_Siboruon,oftenVisitedWith,Pasangan
res:Air_Terjun_Siboruon,peakTime,Akhir_Pekan
res:Air_Terjun_Siboruon,peakTime,Libur_Nasional
res:Air_Terjun_Siboruon,dbo:parking,Tersedia
res:Air_Terjun_Siboruon,dbo:parking,Berbayar
res:Air_Terjun_Siboruon,hasDiningOption,Tidak_Tersedia
res:Air_Terjun_Siboruon,accommodationType,Tidak_Tersedia
res:Air_Terjun_Siboruon,dbo:openingHours,Siang
res:Air_Terjun_Siboruon,dbo:openingHours,Pagi
res:Air_Terjun_Siboruon,dct:subject,Air
res:Bukit_Senyum,dct:category,cat:Alam
res:Bukit_Senyum,ex:hasLandscape,Panorama Danau Toba
res:Bukit_Senyum,ex:suitableFor,Keluarga
res:Bukit_Senyum,ex:suitableFor,Fotografi
res:Bukit_Senyum,ex:hasAtmosphere,Sejuk
res:Bukit_Senyum,ex:hasAtmosphere,Tenang
res:Bukit_Senyum,ex:activityType,Bersantai
res:Bukit_Senyum,ex:activityType,Menikmati Pemandangan
res:Bukit_Senyum,ex:hasFeature,Perbukitan
res:Bukit_Senyum,ex:hasFeature,Spot Sunset
res:Bukit_Senyum,dbo:location,Toba
res:Bukit_Senyum,ex:roadCondition,Baik
res:Bukit_Senyum,ex:accessibleBy,Mobil
res:Bukit_Senyum,ex:accessibleBy,Motor
res:Bukit_Senyum,dbo:transportation,Mobil
res:Bukit_Senyum,dbo:transportation,Motor
res:Bukit_Senyum,ex:oftenVisitedWith,Keluarga
res:Bukit_Senyum,ex:oftenVisitedWith,Teman
res:Bukit_Senyum,ex:peakTime,Akhir Pekan
res:Bukit_Senyum,ex:peakTime,Hari Libur
res:Bukit_Senyum,ex:hasSubCategory,Pemandangan
res:Bukit_Senyum,ex:hasSubCategory,Spot Foto
res:Bukit_Senyum,dbo:parking,Tersedia
res:Bukit_Senyum,dbo:parking,Berbayar
res:Bukit_Senyum,ex:availableFacility,Spot Foto
res:Bukit_Senyum,ex:availableFacility,Area Parkir
res:Bukit_Senyum,ex:hasDiningOption,Warung Makan
res:Bukit_Senyum,ex:hasLocalCuisine,Makanan Ringan
res:Bukit_Senyum,ex:hasLocalCuisine,Kopi Lokal
res:Bukit_Senyum,ex:inTourismZone,Danau Toba
res:Singgolom,dct:category,cat:Alam
res:Singgolom,dbo:location,Toba
res:Singgolom,dbo:locatedInArea,Ajibata
res:Singgolom,ex:hasLandscape,Panorama Danau Toba
res:Singgolom,ex:hasFeature,Spot Foto
res:Singgolom,ex:suitableFor,Keluarga
res:Singgolom,ex:suitableFor,Traveler
res:Singgolom,ex:activityType,Bersantai
res:Singgolom,ex:activityType,Fotografi
res:Singgolom,ex:accessibleBy,Mobil
res:Singgolom,ex:accessibleBy,Motor
res:Singgolom,ex:roadCondition,Baik
res:Singgolom,dbo:parking,Tersedia
res:Singgolom,dbo:transportation,Mobil
res:Singgolom,dbo:transportation,Motor
res:Singgolom,ex:hasAtmosphere,Tenang
res:Singgolom,ex:hasAtmosphere,Sejuk
res:Singgolom,ex:hasSubCategory,Pemandangan
res:Singgolom,ex:hasSubCategory,Spot Instagramable
res:Singgolom,ex:availableFacility,Area Parkir
res:Singgolom,ex:availableFacility,Tempat Duduk
res:Singgolom,ex:oftenVisitedWith,Keluarga
res:Singgolom,ex:oftenVisitedWith,Teman
res:Singgolom,dbo:nearbyAttraction,Pantai_Apas_Ajibata
res:Singgolom,dbo:nearbyAttraction,Bukit_Tarabunga
res:Singgolom,ex:inTourismZone,Kawasan_Danau_Toba
res:Singgolom,ex:hasDiningOption,Warung_Makan
res:Singgolom,ex:hasLocalCuisine,Ikan_Bakar
res:Singgolom,ex:ticketPriceRange,Terjangkau
res:Singgolom,dbo:openingHours,Setiap Hari
res:Ponot_Waterfall,dct:category,cat:Alam
res:Ponot_Waterfall,hasSubCategory,Air Terjun
res:Ponot_Waterfall,hasFeature,Air Terjun
res:Ponot_Waterfall,hasLandscape,Tebing
res:Ponot_Waterfall,suitableFor,Petualangan
res:Ponot_Waterfall,activityType,Trekking
res:Ponot_Waterfall,accessibleBy,Jalan Kaki
res:Ponot_Waterfall,roadCondition,Tanah
res:Ponot_Waterfall,dbo:transportation,Motor
res:Ponot_Waterfall,dbo:transportation,Mobil
res:Ponot_Waterfall,dbo:parking,Tersedia
res:Ponot_Waterfall,dbo:openingHours,24 Jam
res:Ponot_Waterfall,hasAtmosphere,Sejuk
res:Ponot_Waterfall,hasAtmosphere,Alami
res:Ponot_Waterfall,dbo:location,Toba
res:Ponot_Waterfall,dbo:locatedInArea,Porsea
res:Ponot_Waterfall,dbo:nearbyAttraction,Air_Terjun_Sampuran_Efrata
res:Ponot_Waterfall,dbo:nearbyAttraction,Bukit_Tarabunga
res:Ponot_Waterfall,dbo:nearbyAttraction,Pantai_Bulbul
res:Ponot_Waterfall,dbo:nearbyAttraction,Taman_Eden_100
res:Ponot_Waterfall,dbo:nearbyAttraction,Danau_Toba
res:Ponot_Waterfall,dbo:nearbyAttraction,Museum_Batak_TB_Silalahi_Center
res:Ponot_Waterfall,dbo:nearbyAttraction,Balige
res:Ponot_Waterfall,dbo:nearbyAttraction,Bukit_Sigapiton
res:Ponot_Waterfall,dbo:nearbyAttraction,Huta_Siallagan
res:Ponot_Waterfall,dbo:nearbyAttraction,Bukit_Holbung
res:Ponot_Waterfall,dbo:nearbyAttraction,Menara_Pandang_Tele
res:Ponot_Waterfall,dbo:nearbyAttraction,Air_Terjun_Sipiso_Piso
res:Ponot_Waterfall,dbo:nearbyAttraction,Pusuk_Buhit
res:Ponot_Waterfall,dbo:nearbyAttraction,Samosir
res:Batu_Basiha,dct:category,cat:Alam
res:Batu_Basiha,hasFeature,Formasi Batu
res:Batu_Basiha,hasLandscape,Perbukitan
res:Batu_Basiha,suitableFor,Fotografi
res:Batu_Basiha,suitableFor,Wisata Keluarga
res:Batu_Basiha,activityType,Melihat Pemandangan
res:Batu_Basiha,hasAtmosphere,Tenang
res:Batu_Basiha,accessibleBy,Mobil
res:Batu_Basiha,accessibleBy,Motor
res:Batu_Basiha,roadCondition,Baik
res:Batu_Basiha,dbo:location,Toba
res:Batu_Basiha,dbo:locatedInArea,Tidak Diketahui
res:Batu_Basiha,dbo:nearbyAttraction,Tidak Diketahui
res:Batu_Basiha,dbo:transportation,Mobil
res:Batu_Basiha,dbo:transportation,Motor
res:Batu_Basiha,dbo:openingHours,Setiap Hari
res:Batu_Basiha,dbo:parking,Tersedia
res:Batu_Basiha,hasSubCategory,Formasi Geologi
res:Batu_Basiha,hasFeature,Spot Foto
res:Batu_Basiha,suitableFor,Relaksasi
res:Batu_Basiha,activityType,Hiking
res:Batu_Basiha,hasAtmosphere,Segar
res:Batu_Basiha,accessibleBy,Jalan Kaki
res:Batu_Basiha,roadCondition,Berbatu
res:Batu_Basiha,dbo:localAuthority,Pemerintah Daerah
res:Batu_Basiha,dbo:parking,Berbayar
res:Batu_Basiha,hasDiningOption,Tidak Tersedia
res:Batu_Basiha,oftenVisitedWith,Keluarga
res:Batu_Basiha,oftenVisitedWith,Teman
res:Batu_Basiha,peakTime,Akhir Pekan
res:Gereja_HKBP_DR.IL.Nommensen_Sigumpar,dct:category,cat:Religi
res:Gereja_HKBP_DR.IL.Nommensen_Sigumpar,dbo:location,Toba
res:Gereja_HKBP_DR.IL.Nommensen_Sigumpar,ex:hasAtmosphere,Tenang
res:Gereja_HKBP_DR.IL.Nommensen_Sigumpar,ex:suitableFor,Keluarga
res:Gereja_HKBP_DR.IL.Nommensen_Sigumpar,ex:suitableFor,Individu
res:Gereja_HKBP_DR.IL.Nommensen_Sigumpar,ex:suitableFor,Rombongan
res:Gereja_HKBP_DR.IL.Nommensen_Sigumpar,ex:activityType,Beribadah
res:Gereja_HKBP_DR.IL.Nommensen_Sigumpar,ex:activityType,Meditasi
res:Gereja_HKBP_DR.IL.Nommensen_Sigumpar,ex:activityType,Refleksi Diri
res:Gereja_HKBP_DR.IL.Nommensen_Sigumpar,ex:hasFeature,Arsitektur Klasik
res:Gereja_HKBP_DR.IL.Nommensen_Sigumpar,ex:hasFeature,Bangunan Bersejarah
res:Gereja_HKBP_DR.IL.Nommensen_Sigumpar,ex:hasFeature,Tempat Ibadah
res:Gereja_HKBP_DR.IL.Nommensen_Sigumpar,dbo:parking,Tersedia
res:Gereja_HKBP_DR.IL.Nommensen_Sigumpar,dbo:transportation,Mobil
res:Gereja_HKBP_DR.IL.Nommensen_Sigumpar,dbo:transportation,Motor
res:Gereja_HKBP_DR.IL.Nommensen_Sigumpar,ex:accessibleBy,Mobil
res:Gereja_HKBP_DR.IL.Nommensen_Sigumpar,ex:accessibleBy,Motor
res:Gereja_HKBP_DR.IL.Nommensen_Sigumpar,ex:roadCondition,Baik
res:Gereja_HKBP_DR.IL.Nommensen_Sigumpar,ex:managementType,Lokal
res:Gereja_HKBP_DR.IL.Nommensen_Sigumpar,ex:availableFacility,Toilet
res:Gereja_HKBP_DR.IL.Nommensen_Sigumpar,ex:availableFacility,Area Parkir
res:Gereja_HKBP_DR.IL.Nommensen_Sigumpar,ex:availableFacility,Ruang Ibadah
res:Gereja_HKBP_DR.IL.Nommensen_Sigumpar,dbo:openingHours,Setiap Hari
res:Gereja_HKBP_DR.IL.Nommensen_Sigumpar,ex:peakTime,Akhir Pekan
res:Gereja_HKBP_DR.IL.Nommensen_Sigumpar,ex:peakTime,Hari Libur
res:Gereja_HKBP_DR.IL.Nommensen_Sigumpar,ex:peakTime,Hari Minggu
res:Gereja_HKBP_DR.IL.Nommensen_Sigumpar,dbo:localAuthority,HKBP
res:Gereja_HKBP_DR.IL.Nommensen_Sigumpar,dct:subject,Kristen
res:Gereja_HKBP_DR.IL.Nommensen_Sigumpar,ex:hasSubCategory,Gereja
res:Gereja_HKBP_DR.IL.Nommensen_Sigumpar,ex:hasSubCategory,Tempat Ibadah
res:TB_Silalahi_Swimming_Pool,dct:category,cat:Buatan
res:TB_Silalahi_Swimming_Pool,dbo:location,Toba
res:TB_Silalahi_Swimming_Pool,dbo:locatedInArea,Balige
res:TB_Silalahi_Swimming_Pool,hasFeature,Kolam Renang
res:TB_Silalahi_Swimming_Pool,suitableFor,Keluarga
res:TB_Silalahi_Swimming_Pool,suitableFor,Anak-anak
res:TB_Silalahi_Swimming_Pool,activityType,Berenang
res:TB_Silalahi_Swimming_Pool,hasAtmosphere,Santai
res:TB_Silalahi_Swimming_Pool,hasAtmosphere,Ramai
res:TB_Silalahi_Swimming_Pool,availableFacility,Toilet
res:TB_Silalahi_Swimming_Pool,availableFacility,Kamar Ganti
res:TB_Silalahi_Swimming_Pool,availableFacility,Area Parkir
res:TB_Silalahi_Swimming_Pool,availableFacility,Penyewaan Ban
res:TB_Silalahi_Swimming_Pool,hasDiningOption,Kantin
res:TB_Silalahi_Swimming_Pool,hasDiningOption,Warung Makan
res:TB_Silalahi_Swimming_Pool,dbo:parking,Tersedia
res:TB_Silalahi_Swimming_Pool,dbo:parking,Berbayar
res:TB_Silalahi_Swimming_Pool,accessibleBy,Mobil
res:TB_Silalahi_Swimming_Pool,accessibleBy,Motor
res:TB_Silalahi_Swimming_Pool,roadCondition,Baik
res:TB_Silalahi_Swimming_Pool,managementType,Swasta
res:TB_Silalahi_Swimming_Pool,hasSubCategory,Wisata Air
res:TB_Silalahi_Swimming_Pool,hasSubCategory,Rekreasi
res:TB_Silalahi_Swimming_Pool,oftenVisitedWith,Keluarga
res:TB_Silalahi_Swimming_Pool,oftenVisitedWith,Teman
res:TB_Silalahi_Swimming_Pool,dbo:localAuthority,Pemerintah Daerah
res:TB_Silalahi_Swimming_Pool,hasFeature,Area Bermain Anak
res:TB_Silalahi_Swimming_Pool,availableFacility,Gazebo
res:TB_Silalahi_Swimming_Pool,availableFacility,Mushola
res:TB_Silalahi_Swimming_Pool,availableFacility,Tempat Istirahat
res:Labersa_Toba_Fantasi_Waterpark,dct:category,cat:Buatan
res:Labersa_Toba_Fantasi_Waterpark,hasSubCategory,Taman Air
res:Labersa_Toba_Fantasi_Waterpark,suitableFor,Keluarga
res:Labersa_Toba_Fantasi_Waterpark,suitableFor,Anak-anak
res:Labersa_Toba_Fantasi_Waterpark,activityType,Bermain Air
res:Labersa_Toba_Fantasi_Waterpark,activityType,Berenang
res:Labersa_Toba_Fantasi_Waterpark,activityType,Rekreasi
res:Labersa_Toba_Fantasi_Waterpark,hasFeature,Seluncuran Air
res:Labersa_Toba_Fantasi_Waterpark,hasFeature,Kolam Ombak
res:Labersa_Toba_Fantasi_Waterpark,hasFeature,Kolam Renang
res:Labersa_Toba_Fantasi_Waterpark,availableFacility,Toilet
res:Labersa_Toba_Fantasi_Waterpark,availableFacility,Kamar Ganti
res:Labersa_Toba_Fantasi_Waterpark,availableFacility,Penyewaan Ban
res:Labersa_Toba_Fantasi_Waterpark,availableFacility,Area Parkir
res:Labersa_Toba_Fantasi_Waterpark,hasDiningOption,Restoran
res:Labersa_Toba_Fantasi_Waterpark,hasDiningOption,Cafe
res:Labersa_Toba_Fantasi_Waterpark,dbo:parking,Tersedia
res:Labersa_Toba_Fantasi_Waterpark,dbo:parking,Berbayar
res:Labersa_Toba_Fantasi_Waterpark,dbo:openingHours,Setiap Hari
res:Labersa_Toba_Fantasi_Waterpark,ticketPriceRange,Terjangkau
res:Labersa_Toba_Fantasi_Waterpark,oftenVisitedWith,Keluarga
res:Labersa_Toba_Fantasi_Waterpark,oftenVisitedWith,Teman
res:Labersa_Toba_Fantasi_Waterpark,managementType,Swasta
res:Labersa_Toba_Fantasi_Waterpark,dbo:transportation,Mobil
res:Labersa_Toba_Fantasi_Waterpark,dbo:transportation,Motor
res:Labersa_Toba_Fantasi_Waterpark,accessibleBy,Mobil
res:Labersa_Toba_Fantasi_Waterpark,accessibleBy,Motor
res:Labersa_Toba_Fantasi_Waterpark,roadCondition,Baik
res:Labersa_Toba_Fantasi_Waterpark,hasAtmosphere,Ramai
res:Labersa_Toba_Fantasi_Waterpark,hasAtmosphere,Menyenangkan
res:Gua_Liang_Sipege,dct:category,cat:Alam
res:Gua_Liang_Sipege,hasFeature,Formasi Gua
res:Gua_Liang_Sipege,hasAtmosphere,Sejuk
res:Gua_Liang_Sipege,suitableFor,Petualang
res:Gua_Liang_Sipege,activityType,Penjelajahan
res:Gua_Liang_Sipege,dbo:location,Toba
res:Gua_Liang_Sipege,dbo:locatedInArea,Tidak Diketahui
res:Gua_Liang_Sipege,accessibleBy,Jalan Kaki
res:Gua_Liang_Sipege,roadCondition,Tidak Diketahui
res:Gua_Liang_Sipege,dbo:transportation,Motor
res:Gua_Liang_Sipege,dbo:transportation,Mobil
res:Gua_Liang_Sipege,dbo:openingHours,Tidak Diketahui
res:Gua_Liang_Sipege,dbo:parking,Tidak Tersedia
res:Gua_Liang_Sipege,hasLandscape,Perbukitan
res:Gua_Liang_Sipege,hasSubCategory,Gua
res:Gua_Liang_Sipege,ex:inTourismZone,Danau Toba
res:Gua_Liang_Sipege,ex:oftenVisitedWith,Keluarga
res:Gua_Liang_Sipege,ex:oftenVisitedWith,Teman
res:Gua_Liang_Sipege,ex:oftenVisitedWith,Turis Asing
res:Gua_Liang_Sipege,ex:oftenVisitedWith,Turis Lokal
res:Gua_Liang_Sipege,ex:suitableFor,Fotografi
res:Gua_Liang_Sipege,ex:suitableFor,Penelitian
res:Gua_Liang_Sipege,ex:peakTime,Akhir Pekan
res:Gua_Liang_Sipege,ex:peakTime,Libur Nasional
res:Gua_Liang_Sipege,ex:hasDiningOption,Tidak Tersedia
res:Gua_Liang_Sipege,ex:accommodationType,Tidak Tersedia
res:Gua_Liang_Sipege,ex:availableFacility,Tidak Tersedia
res:Gua_Liang_Sipege,dbo:nearbyAttraction,Tidak Diketahui
res:Gua_Liang_Sipege,dct:subject,Alam
res:Gua_Liang_Sipege,dct:subject,Petualangan
res:Makam_Missionaris_Pdt.DR.IL.Nommensen,dct:category,cat:Sejarah
res:Makam_Missionaris_Pdt.DR.IL.Nommensen,dct:category,cat:Religi
res:Makam_Missionaris_Pdt.DR.IL.Nommensen,ex:hasSubCategory,cat:Situs_Bersejarah
res:Makam_Missionaris_Pdt.DR.IL.Nommensen,ex:suitableFor,Peziarah
res:Makam_Missionaris_Pdt.DR.IL.Nommensen,ex:suitableFor,Wisatawan
res:Makam_Missionaris_Pdt.DR.IL.Nommensen,ex:activityType,Ziarah
res:Makam_Missionaris_Pdt.DR.IL.Nommensen,ex:activityType,Wisata_Sejarah
res:Makam_Missionaris_Pdt.DR.IL.Nommensen,ex:hasFeature,Makam
res:Makam_Missionaris_Pdt.DR.IL.Nommensen,ex:hasFeature,Bangunan_Bersejarah
