item_id|nama_asli|nama_tempat|latitude|longitude|rating|total_ulasan|price|keyword_ulasan|layanan|url
TOBAREST00057|Silintong Restaurant|Silintong Restaurant|2.65688|98.93918|4,0|2|Tidak ada informasi harga|Tidak ada keyword|Tidak ada layanan|https://www.google.com/maps/search/Silintong+Restaurant
TOBAREST00058|Tampubolon Lbn Atas|Tampubolon Lbn Atas|2.339122|99.0839171|4,3|40|Tidak ada informasi harga|Tidak ada keyword|Tidak ada layanan|https://www.google.com/maps/search/Tampubolon+Lbn+Atas
TOBAREST00059|Foodpedia Balige|Foodpedia Balige|2.3312672|99.0486233|4,2|63|Tidak ada informasi harga|lama|Tidak ada layanan|https://www.google.com/maps/search/Foodpedia+Balige
TOBAREST00060|ANDRIAN RUMAH MAKAN NASIONAL|ANDRIAN RUMAH MAKAN NASIONAL|2.6699247|98.8531994|4,5|156|Tidak ada informasi harga|harga, halal, gorengnya, parkir, mi goreng, capcay, masakan indonesia, seafood, udang goreng tepung, kangkung|Tidak ada layanan|https://www.google.com/maps/search/ANDRIAN+RUMAH+MAKAN+NASIONAL
TOBAREST00061|Toba Rose Hotel|Toba Rose Hotel|2.341737|99.0488411|4,2|211|Tidak ada informasi harga|harga, kamar, danau, pemandangan, keluarga, penginapan, santai, kipas, musik|Tidak ada layanan|https://www.google.com/maps/search/Toba+Rose+Hotel
TOBAREST00062|Santai Cafe|Santai Cafe|2.3375352|99.0530718|4,0|21|Tidak ada informasi harga|Tidak ada keyword|Tidak ada layanan|https://www.google.com/maps/search/Santai+Cafe
TOBAREST00063|Hidangan Muslim Rumah Makan CHARISSA|Hidangan Muslim Rumah Makan CHARISSA|2.600911|98.9528677|4,8|4|Tidak ada informasi harga|Tidak ada keyword|Tidak ada layanan|https://www.google.com/maps/search/Hidangan+Muslim+Rumah+Makan+CHARISSA
TOBAREST00064|"Rm Tona ""Masakan Khas Batak"""|"Rm Tona ""Masakan Khas Batak"""|2.4619021|99.1481247|4,7|32|Tidak ada informasi harga|pemandangan|Tidak ada layanan|"https://www.google.com/maps/search/Rm+Tona+""Masakan+Khas+Batak"""
TOBAREST00065|Tao Tio Coffee and Resto|Tao Tio Coffee and Resto|2.3296704|99.0523756|4,5|32|Tidak ada informasi harga|Tidak ada keyword|Tidak ada layanan|https://www.google.com/maps/search/Tao+Tio+Coffee+and+Resto
TOBAREST00066|Cabang cafe bungsu|Cabang cafe bungsu|2.5893579|99.4154545|5,0|1|Tidak ada informasi harga|Tidak ada keyword|Tidak ada layanan|https://www.google.com/maps/search/Cabang+cafe+bungsu
TOBAREST00067|Yolanda Restaurant|Yolanda Restaurant|2.6787019|98.8422546|4,9|57|Tidak ada informasi harga|danau, sarapan, tempe, harga, sambal, babi, kelapa, pemandangan, tahu, tuan tanah|Tidak ada layanan|https://www.google.com/maps/search/Yolanda+Restaurant
TOBAREST00068|Naga Restoran|Naga Restoran|2.3367381|99.053991|3,5|11|Tidak ada informasi harga|Tidak ada keyword|Tidak ada layanan|https://www.google.com/maps/search/Naga+Restoran
TOBAREST00069|Chinese Restaurant Tuktuk|Chinese Restaurant Tuktuk|2.6700546|98.8607087|4,3|144|Tidak ada informasi harga|harga, halal, parkir, wajib, cumi, luas|Tidak ada layanan|https://www.google.com/maps/search/Chinese+Restaurant+Tuktuk
TOBAREST00070|Cafè WakuWaku Toba|Cafè WakuWaku Toba|2.4463328|99.1550337|4,2|47|Tidak ada informasi harga|Tidak ada keyword|Tidak ada layanan|https://www.google.com/maps/search/Cafè+WakuWaku+Toba
TOBAREST00071|"Kedai Bakmi ""Bahagia"" / ""Sukaria"""|"Kedai Bakmi ""Bahagia"" / ""Sukaria"""|2.3345538|99.0663748|4,3|199|Tidak ada informasi harga|harga, masakan, mie goreng, nasi goreng, halal, standar, gorengnya, pansit, ibu|Tidak ada layanan|"https://www.google.com/maps/search/Kedai+Bakmi+""Bahagia""+/+""Sukaria"""
TOBAREST00072|RM. Siganupari Ajibata|RM. Siganupari Ajibata|2.6590532|98.9348038|4,4|97|Tidak ada informasi harga|harga, babi, pesan|Tidak ada layanan|https://www.google.com/maps/search/RM.+Siganupari+Ajibata
TOBAREST00073|KFC Balige|KFC Balige|2.3382258|99.0811418|4,0|216|Tidak ada informasi harga|luas, parkiran, pelayanan, pesan, pintu, lama, tempat duduk, strategis, nasi, x|Tidak ada layanan|https://www.google.com/maps/search/KFC+Balige
TOBAREST00074|Pondok Makan & Home Stay H. Karsim|Pondok Makan & Home Stay H. Karsim|2.6621096|98.9367381|4,9|41|Tidak ada informasi harga|sarapan, pelayanan, andaliman, hotel, halal, lontong sayur, sop buntut, harga, sambal|Tidak ada layanan|https://www.google.com/maps/search/Pondok+Makan+&+Home+Stay+H.+Karsim
TOBAREST00075|Rm.Mariboto|Rm.Mariboto|2.3404315|99.0864759|4,4|20|Tidak ada informasi harga|Tidak ada keyword|Tidak ada layanan|https://www.google.com/maps/search/Rm.Mariboto
TOBAREST00076|Sihar resto & coffee|Sihar resto & coffee|2.3335204|99.0608116|5,0|2|Tidak ada informasi harga|Tidak ada keyword|Tidak ada layanan|https://www.google.com/maps/search/Sihar+resto+&+coffee
TOBAREST00077|Larisma Cafe and Resto|Larisma Cafe and Resto|2.2989833|99.3672909|3,8|12|Tidak ada informasi harga|Tidak ada keyword|Tidak ada layanan|https://www.google.com/maps/search/Larisma+Cafe+and+Resto
TOBAREST00078|Bulbul Resto|Bulbul Resto|2.3356115|99.0662728|4,1|7|Tidak ada informasi harga|Tidak ada keyword|Tidak ada layanan|https://www.google.com/maps/search/Bulbul+Resto
TOBAREST00079|Skuy Living Cafe & Resto|Skuy Living Cafe & Resto|2.4505656|99.1530614|4,4|5|Tidak ada informasi harga|Tidak ada keyword|Tidak ada layanan|https://www.google.com/maps/search/Skuy+Living+Cafe+&+Resto
TOBAREST00080|Rumah Makan TONDONGTA|Rumah Makan TONDONGTA|2.3344866|99.0671116|4,7|19|Tidak ada informasi harga|Tidak ada keyword|Tidak ada layanan|https://www.google.com/maps/search/Rumah+Makan+TONDONGTA
TOBAREST00081|Rumah Makan Khas Batak Toba Utara|Rumah Makan Khas Batak Toba Utara|2.3338899|99.06271|4,6|12|Tidak ada informasi harga|Tidak ada keyword|Tidak ada layanan|https://www.google.com/maps/search/Rumah+Makan+Khas+Batak+Toba+Utara
TOBAREST00082|BAKSO BABI BASECAME BALIGE|BAKSO BABI BASECAME BALIGE|2.3347746|99.0652223|4,3|86|Tidak ada informasi harga|harga, lidah, kuah, halal, bakso babi, micin, batak, suara, kasir, sambal|Tidak ada layanan|https://www.google.com/maps/search/BAKSO+BABI+BASECAME+BALIGE
TOBAREST00083|PADELTA lapo|PADELTA lapo|2.3007076|99.016327|4,3|33|Tidak ada informasi harga|Tidak ada keyword|Tidak ada layanan|https://www.google.com/maps/search/PADELTA+lapo
TOBAREST00084|Rumah Makan Khas Batak TOBA SAMOSIR|Rumah Makan Khas Batak TOBA SAMOSIR|2.3344069|99.0652177|3,9|32|Tidak ada informasi harga|arsik|Tidak ada layanan|https://www.google.com/maps/search/Rumah+Makan+Khas+Batak+TOBA+SAMOSIR
TOBAREST00085|Warung Kembar (KHAS BATAK|Warung Kembar (KHAS BATAK|2.3285461|99.0438056|4,3|24|Tidak ada informasi harga|bumbu, pilihan|Tidak ada layanan|https://www.google.com/maps/search/Warung+Kembar+(KHAS+BATAK)
TOBAREST00086|Rumah Makan Sigiring Giring|Rumah Makan Sigiring Giring|2.3302973|99.0169663|4,4|49|Tidak ada informasi harga|Tidak ada keyword|Tidak ada layanan|https://www.google.com/maps/search/Rumah+Makan+Sigiring+Giring
TOBAREST00087|Balige Seafood|Balige Seafood|2.3363328|99.0738498|4,1|20|Tidak ada informasi harga|harga|Tidak ada layanan|https://www.google.com/maps/search/Balige+Seafood
TOBAREST00088|Quality Time Cafe|Quality Time Cafe|2.445189|99.15714|4,7|64|Tidak ada informasi harga|music, baristanya, ultah, senyum|Tidak ada layanan|https://www.google.com/maps/search/Quality+Time+Cafe
TOBAREST00089|Rumah Makan BOIMA 2 (Khas Batak|Rumah Makan BOIMA 2 (Khas Batak|2.3537868|99.1234123|4,2|36|Tidak ada informasi harga|pelayanan, parkir, luas, harga, teh manis, standar, babi, sambal|Tidak ada layanan|https://www.google.com/maps/search/Rumah+Makan+BOIMA+2+(Khas+Batak)
TOBAREST00090|Ataraxia Cafe|Ataraxia Cafe|2.3413786|99.0977945|3,8|25|Tidak ada informasi harga|pelayanan, musik|Tidak ada layanan|https://www.google.com/maps/search/Ataraxia+Cafe
TOBAREST00092|AQUINO CAFE|AQUINO CAFE|2.3462956|99.0451796|4,5|39|Tidak ada informasi harga|Tidak ada keyword|Tidak ada layanan|https://www.google.com/maps/search/AQUINO+CAFE
TOBAREST00093|Rotiart cafe resto|Rotiart cafe resto|2.4649303|99.1885209|4,2|Tidak ada ulasan|Tidak ada informasi harga|Tidak ada keyword|Tidak ada layanan|https://www.google.com/maps/search/Rotiart+cafe+resto
TOBAREST00094|Rumah Makan Martabe|Rumah Makan Martabe|2.351885|99.117094|4,2|178|Tidak ada informasi harga|babi, ikan, luas, parkir, pelayanan|Tidak ada layanan|https://www.google.com/maps/search/Rumah+Makan+Martabe
TOBAREST00095|RUMAH MAKAN BATAK SABAS|RUMAH MAKAN BATAK SABAS|2.4534548|99.1519607|4,5|17|Tidak ada informasi harga|Tidak ada keyword|Tidak ada layanan|https://www.google.com/maps/search/RUMAH+MAKAN+BATAK+SABAS
TOBAREST00096|Quality Fried Chicken|Quality Fried Chicken|2.3343643|99.068665|4,1|263|Tidak ada informasi harga|harga, pelayanan, pesan, halal, kentang, fast food, ekonomis|Tidak ada layanan|https://www.google.com/maps/search/Quality+Fried+Chicken
TOBAREST00097|Chinese Food & Mie Pangsit Ong|Chinese Food & Mie Pangsit Ong|2.4625349|99.1782758|4,4|14|Tidak ada informasi harga|Tidak ada keyword|Tidak ada layanan|https://www.google.com/maps/search/Chinese+Food+&+Mie+Pangsit+Ong
TOBAREST00098|Ziliwu Kitchen|Ziliwu Kitchen sitoluama|2.3975665|99.0984072|4,8|27|Rp 1-25.000 per orang|Tidak ada keyword|Makan di tempat, Bawa pulang|https://www.google.com/maps/search/Ziliwu+Kitchen+sitoluama
TOBAREST00099|Boruku|Boruku|2.32907|99.0542|4,7|6|Tidak ada informasi harga|Tidak ada keyword|Tidak ada layanan|https://www.google.com/maps/search/Boruku
TOBAREST00100|Agatha Space|Agatha Space|2.335316|99.0610199|4,3|86|Tidak ada informasi harga|harga, danau, sunset, hujan, ayam, tepung, nada, nasi, pesan, mood|Tidak ada layanan|https://www.google.com/maps/search/Agatha+Space
TOBAREST00101|RM Khas Batak REVA|RM Khas Batak REVA|2.3980465|99.1664773|5,0|1|Tidak ada informasi harga|Tidak ada keyword|Tidak ada layanan|https://www.google.com/maps/search/RM+Khas+Batak+REVA
TOBAREST00102|Rumah Makan Muslim Hafizah|Rumah Makan Muslim Hafizah|2.3649381|99.1378091|4,6|19|Tidak ada informasi harga|Tidak ada keyword|Tidak ada layanan|https://www.google.com/maps/search/Rumah+Makan+Muslim+Hafizah
TOBAREST00103|Kopi Partungkoan Balige|Kopi Partungkoan Balige|2.334365|99.0680073|4,5|253|Tidak ada informasi harga|jokowi, harga, pejabat, presiden, pinggir jalan, cemilan, pelayanan|Tidak ada layanan|https://www.google.com/maps/search/Kopi+Partungkoan+Balige
TOBAREST00104|RESTO & HOMESTAY LUMBAN BULBUL|RESTO & HOMESTAY LUMBAN BULBUL|2.3478306|99.0713254|4,0|3|Tidak ada informasi harga|Tidak ada keyword|Tidak ada layanan|https://www.google.com/maps/search/RESTO+&+HOMESTAY+LUMBAN+BULBUL
TOBAREST00105|rumah makan babi panggang karo arih ersada|rumah makan babi panggang karo arih ersada|2.3519232|99.1184335|4,4|18|Tidak ada informasi harga|Tidak ada keyword|Tidak ada layanan|https://www.google.com/maps/search/rumah+makan+babi+panggang+karo+arih+ersada
TOBAREST00107|Cafe terapung timothi|Cafe terapung timothi|2.3500392|99.0399322|4,0|3|Tidak ada informasi harga|Tidak ada keyword|Tidak ada layanan|https://www.google.com/maps/search/Cafe+terapung+timothi
TOBAREST00108|BPK|BPK 95P2+9M3, Sitoluama, Kec. Laguboti, Toba, Sumatera Utara|2.3858806|99.1516684|4,4|85|Tidak ada informasi harga|Tidak ada keyword|Tidak ada layanan|https://www.google.com/maps/search/BPK+95P2+9M3,+Sitoluama,+Kec.+Laguboti,+Toba,+Sumatera+Utara
TOBAREST00109|Amora Cafe|Amora Cafe Balige|2.3213606|99.0896447|3,8|18|Tidak ada informasi harga|Tidak ada keyword|Tidak ada layanan|https://www.google.com/maps/search/Amora+Cafe+Balige
TOBAREST00110|OS COFFEE cafe & resto|OS COFFEE cafe & resto laguboti|2.3551075|99.1263355|4,5|8|Tidak ada informasi harga|Tidak ada keyword|Tidak ada layanan|https://www.google.com/maps/search/OS+COFFEE+cafe+&+resto+laguboti
TOBAREST00111|Rumah Makan Khas Batak Lamhot|Rumah Makan Khas Batak Lamhot balige|2.3290697|99.0548047|4,4|71|Tidak ada informasi harga|pemandangan, harga|Tidak ada layanan|https://www.google.com/maps/search/Rumah+Makan+Khas+Batak+Lamhot+balige
TOBAREST00112|RM. GOMGOM KHAS BATAK|RM. GOMGOM KHAS BATAK|2.3330288|99.0551148|4,9|13|Tidak ada informasi harga|Tidak ada keyword|Tidak ada layanan|https://www.google.com/maps/search/RM.+GOMGOM+KHAS+BATAK
TOBAREST00113|Kedai Bakmi Bahagia 2|Kedai Bakmi Bahagia 2 balige|2.3337655|99.0625259|4,1|97|Tidak ada informasi harga|harga, pangsit, halal, pelayanan, nasi goreng, kuah, standar, dr|Tidak ada layanan|https://www.google.com/maps/search/Kedai+Bakmi+Bahagia+2+balige
TOBAREST00114|Rumah Makan Muslim Berkah|Rumah Makan Muslim Berkah Rumah Makan Muslim Berkah Jl. Sisingamangaraja No.81, Balige II, Kec. Balige, Toba, Sumatera Utara 22312|2.33411|99.0676249|4,2|72|Tidak ada informasi harga|halal, sambal, masakan padang, standar, lauk, harga|Tidak ada layanan|https://www.google.com/maps/search/Rumah+Makan+Muslim+Berkah+Rumah+Makan+Muslim+Berkah+Jl.+Sisingamangaraja+No.81,+Balige+II,+Kec.+Balige,+Toba,+Sumatera+Utara+22312
TOBAREST00115|Samuel's Restaurant|Samuel's Restaurant|2.6764567|98.8533366|4,8|92|Tidak ada informasi harga|ikan, arsik, batak, rendang daging sapi, pulau, tour guide, kuliner, bajaj, gitar, gado-gado|Tidak ada layanan|https://www.google.com/maps/search/Samuel's+Restaurant
TOBAREST00116|Parhitean|Parhitean Parhitean H87P+F2W, Hitetano, Kec. Habinsaran, Toba, Sumatera Utara 22383|2.5637288|99.3350838|4,3|81|Tidak ada informasi harga|arung jeram, air|Tidak ada layanan|https://www.google.com/maps/search/Parhitean+Parhitean+H87P+F2W,+Hitetano,+Kec.+Habinsaran,+Toba,+Sumatera+Utara+22383
TOBAREST00117|Restaurant DUGUL|Restaurant DUGUL|2.679295|98.8410765|4,6|12|Tidak ada informasi harga|danau, sunset, tangga, putra, keramahan, dinner, harga|Tidak ada layanan|https://www.google.com/maps/search/Restaurant+DUGUL
TOBAREST00118|Kedai Bakmi Laris|Kedai Bakmi Laris balige|2.3342102|99.0672432|4,4|151|Tidak ada informasi harga|bakpao, coklat, pangsit, kacang, pelayanan, pesan, halal, nasi, kuah, goreng|Tidak ada layanan|https://www.google.com/maps/search/Kedai+Bakmi+Laris+balige
TOBAREST00120|Lapo Parratusan|Lapo Parratusan sigumpar|2.4047786|99.1621569|4,8|4|Tidak ada informasi harga|Tidak ada keyword|Tidak ada layanan|https://www.google.com/maps/search/Lapo+Parratusan+sigumpar
